[2024-10-22T09:10:43.716+0700] {processor.py:186} INFO - Started process (PID=14699) to work on /Users/punny/Documents/GitHub/NYC-Taxi-ETL-Pipeline/.venv/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py
[2024-10-22T09:10:43.719+0700] {processor.py:914} INFO - Processing file /Users/punny/Documents/GitHub/NYC-Taxi-ETL-Pipeline/.venv/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-10-22T09:10:43.722+0700] {logging_mixin.py:190} INFO - [2024-10-22T09:10:43.722+0700] {dagbag.py:588} INFO - Filling up the DagBag from /Users/punny/Documents/GitHub/NYC-Taxi-ETL-Pipeline/.venv/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py
[2024-10-22T09:10:43.826+0700] {processor.py:925} INFO - DAG(s) 'consume_1_and_2_with_dataset_expressions', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_produces_1', 'dataset_consumes_1', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_1_and_2', 'dataset_consumes_unknown_never_scheduled', 'dataset_produces_2' retrieved from /Users/punny/Documents/GitHub/NYC-Taxi-ETL-Pipeline/.venv/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py
[2024-10-22T09:10:44.137+0700] {logging_mixin.py:190} INFO - [2024-10-22T09:10:44.137+0700] {dag.py:3239} INFO - Sync 10 DAGs
[2024-10-22T09:10:44.178+0700] {logging_mixin.py:190} INFO - [2024-10-22T09:10:44.177+0700] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-10-16 01:00:00+00:00, run_after=2024-10-16 01:00:00+00:00
[2024-10-22T09:10:44.184+0700] {logging_mixin.py:190} INFO - [2024-10-22T09:10:44.184+0700] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-10-22T09:10:44.186+0700] {logging_mixin.py:190} INFO - [2024-10-22T09:10:44.185+0700] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-10-22T09:10:44.188+0700] {logging_mixin.py:190} INFO - [2024-10-22T09:10:44.187+0700] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-10-22T09:10:44.190+0700] {logging_mixin.py:190} INFO - [2024-10-22T09:10:44.189+0700] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-10-22T09:10:44.192+0700] {logging_mixin.py:190} INFO - [2024-10-22T09:10:44.191+0700] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-10-22T09:10:44.193+0700] {logging_mixin.py:190} INFO - [2024-10-22T09:10:44.193+0700] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-10-22T09:10:44.195+0700] {logging_mixin.py:190} INFO - [2024-10-22T09:10:44.195+0700] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-10-22T09:10:44.199+0700] {logging_mixin.py:190} INFO - [2024-10-22T09:10:44.199+0700] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2024-10-21 00:00:00+00:00, run_after=2024-10-22 00:00:00+00:00
[2024-10-22T09:10:44.201+0700] {logging_mixin.py:190} INFO - [2024-10-22T09:10:44.201+0700] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-10-22T09:10:44.251+0700] {processor.py:208} INFO - Processing /Users/punny/Documents/GitHub/NYC-Taxi-ETL-Pipeline/.venv/lib/python3.10/site-packages/airflow/example_dags/example_datasets.py took 0.547 seconds
